collection_date,isolation_type,min_same,min_diff,serovar_new,country,isolation_source_new,num_close,antigen_formula_new,suscept_sim,mds_a_complete,mds_b_complete,sul2_complete,sul1_complete,bla_tem_1_complete,aad_a1_complete,fos_a7_complete,bla_cmy_2_complete,tet_a_complete,aph_3_ib_complete,aph_6_id_complete,tet_b_complete,streptomycin
2002,environmental/other,32,33,Typhimurium,USA,chicken,0,"4:i:1,2",0.940690672775022,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,12,54,Other,USA,beef,0,Other,0.8378378378378378,1,1,0,0,0,0,0,0,0,0,0,0,1
2013,environmental/other,30,2,Other,USA,chicken,1,Other,0.8460574586891291,1,1,0,0,0,0,0,0,0,0,0,0,1
2014,clinical,6,17,Other,USA,stool,0,Other,0.8918385935221006,1,1,0,0,0,0,0,0,1,0,0,0,1
2013,environmental/other,6,1,Other,USA,chicken,2,Other,0.9141630901287554,1,1,0,0,0,0,0,0,0,0,0,0,1
2005,environmental/other,7,20,Other,USA,chicken,1,"4:i:1,2",1,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,11,22,Kentucky,USA,chicken,0,8:i:z6,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,11,33,Kentucky,USA,chicken,0,8:i:z6,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2013,environmental/other,14,54,Other,USA,chicken,0,8:i:z6,0.902439024390244,1,1,0,0,0,0,0,0,0,1,1,1,0
2019,environmental/other,2,13,Kentucky,USA,turkey,1,8:i:z6,0.967479674796748,1,1,0,0,0,0,0,0,0,1,1,1,0
2019,environmental/other,5,12,Kentucky,USA,chicken,2,8:i:z6,0.967479674796748,1,1,0,0,0,0,0,0,0,1,1,1,0
2019,environmental/other,4,9,Kentucky,USA,chicken,2,8:i:z6,0.967479674796748,1,1,0,0,0,0,0,0,0,1,1,1,0
2013,environmental/other,32,62,Kentucky,USA,chicken,0,8:i:z6,0.8949706944511469,1,1,0,0,0,0,0,0,0,0,0,0,1
2012,environmental/other,12,15,Kentucky,USA,turkey,0,8:i:z6,0.8423423423423424,1,1,0,0,0,0,0,0,0,0,0,0,1
2018,environmental/other,4,5,Kentucky,USA,chicken,2,8:i:z6,0.8423423423423424,1,1,0,0,0,0,0,0,0,0,0,0,1
2002,environmental/other,8,18,Reading,USA,turkey,0,"4:e,h:1,5",0.8454968457787123,1,1,0,0,1,0,0,0,1,0,0,0,1
2003,environmental/other,8,22,Reading,USA,turkey,0,"4:e,h:1,5",0.7746885587455764,1,1,0,0,1,0,0,0,1,0,0,0,1
2006,environmental/other,11,25,Reading,USA,turkey,0,"4:e,h:1,5",0.8599078341013825,1,1,0,0,1,0,0,0,0,0,0,0,1
2005,environmental/other,6,6,Reading,USA,turkey,2,"4:e,h:1,5",0.8472670358033815,1,1,0,0,1,0,0,0,1,0,0,0,1
2008,environmental/other,0,18,Reading,USA,turkey,1,"4:e,h:1,5",0.8500769504405025,1,1,0,0,1,0,0,0,0,0,0,0,1
2016,environmental/other,29,21,Other,USA,pork,0,Other,0.8388559354904663,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,17,12,Other,USA,pork,0,Other,0.8459363006286222,1,1,0,0,0,0,0,0,0,0,0,0,1
2008,environmental/other,0,35,Other,USA,chicken,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2008,environmental/other,0,35,Other,USA,chicken,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2008,environmental/other,1,36,Other,USA,beef,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2008,environmental/other,1,36,Other,USA,beef,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2008,environmental/other,0,35,Other,USA,beef,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2008,environmental/other,0,35,Other,USA,beef,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2008,environmental/other,0,35,Other,USA,beef,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2008,environmental/other,1,36,Other,USA,pork,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2008,environmental/other,0,35,Other,USA,pork,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2008,environmental/other,2,37,Other,USA,pork,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
