collection_date,isolation_type,min_same,min_diff,country,isolation_source_new,num_close,suscept_sim,resist_sim,bla_oxa_193_complete,x50s_l22_a103v_point,gyr_a_t86i_point,bla_oxa_complete,tet_o_complete,aph_3_ii_ia_complete,gentamicin
2016,environmental/other,0,13,USA,beef,1,0.838961038961039,0.5880398671096346,1,0,1,0,1,1,1
2016,environmental/other,8,8,USA,beef,0,0.838961038961039,0.5880398671096346,1,0,1,0,1,0,1
2016,environmental/other,6,6,USA,beef,2,0.838961038961039,0.5880398671096346,1,0,0,0,1,0,1
2016,environmental/other,15,15,USA,beef,0,0.838961038961039,0.5880398671096346,1,0,1,0,1,0,1
2016,environmental/other,8,8,USA,beef,0,0.838961038961039,0.5880398671096346,1,0,0,1,1,1,1
2016,environmental/other,4,5,USA,beef,2,0.838961038961039,0.5880398671096346,1,0,0,0,1,0,1
2016,environmental/other,1,3,USA,chicken,2,0.8696081045054652,1,0,1,0,0,1,0,1
2017,environmental/other,3,19,USA,chicken,1,0.935483870967742,0.9348837209302324,0,1,0,0,0,0,1
2017,environmental/other,0,16,USA,chicken,1,0.935483870967742,1,0,1,0,0,0,0,1
2017,environmental/other,0,16,USA,chicken,1,0.935483870967742,1,0,1,0,0,0,0,1
2017,environmental/other,3,22,USA,chicken,1,0.935483870967742,1,0,1,0,0,0,0,1
2017,environmental/other,3,21,USA,chicken,1,0.935483870967742,1,0,1,0,0,0,0,1
2018,environmental/other,2,11,USA,chicken,1,0.935483870967742,0.9593023255813954,0,1,0,0,0,0,1
2019,environmental/other,6,22,USA,chicken,1,0.935483870967742,1,0,1,0,0,0,0,1
2018,environmental/other,14,15,USA,chicken,0,0.935483870967742,1,0,1,0,0,0,0,1
2019,environmental/other,9,10,USA,chicken,0,0.7723308872020093,0.7926356589147286,0,1,0,0,1,0,1
2016,environmental/other,0,4,USA,chicken,2,0.9673060156931124,1,0,0,0,0,0,0,1
2016,environmental/other,0,4,USA,chicken,2,0.9673060156931124,1,0,0,0,0,0,0,1
2016,environmental/other,4,4,USA,chicken,2,0.9673060156931124,1,0,0,0,0,0,0,1
2016,environmental/other,1,6,USA,chicken,2,0.9673060156931124,1,0,0,0,0,0,0,1
2017,environmental/other,1,7,USA,chicken,2,0.9673060156931124,0.9319004723160088,0,0,0,0,0,0,1
2017,environmental/other,1,11,USA,chicken,1,0.9673060156931124,1,0,0,0,0,0,0,1
2017,environmental/other,3,5,USA,chicken,2,0.9673060156931124,0.9319004723160088,0,0,0,0,0,0,1
2017,environmental/other,4,5,USA,chicken,2,0.9673060156931124,1,0,0,0,0,0,0,1
2017,environmental/other,6,8,USA,chicken,1,0.9673060156931124,1,0,0,0,0,0,0,1
2017,environmental/other,3,11,USA,chicken,1,0.9673060156931124,1,0,0,0,0,0,0,1
