"collection_date","location","isolation_type","snp_cluster","min_same","min_diff","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","mdsA.COMPLETE","mdsB.COMPLETE","sul2.COMPLETE","sul1.COMPLETE","blaTEM.1.COMPLETE","aadA1.COMPLETE","fosA7.COMPLETE","blaCMY.2.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..B...COMPLETE","tetracycline","streptomycin","sulfisoxazole","ampicillin"
2005,"USA:CT","environmental/other","PDS000031695.6",3,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.603243917654398,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2006,"USA:CA","environmental/other","PDS000031695.6",6,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.603243917654398,"1","1","1","0","1","0","0","1","1","1","1","0","0","0","0","0"
2007,"USA:NM","environmental/other","PDS000031695.6",21,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.603243917654398,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2006,"USA:MN","environmental/other","PDS000031695.6",8,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.603243917654398,"1","1","1","0","1","0","0","1","1","1","1","0","0","0","0","0"
2006,"USA:NM","environmental/other","PDS000031695.6",4,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.603243917654398,"1","1","1","0","1","0","0","1","1","1","1","0","0","0","0","0"
2006,"USA:NM","environmental/other","PDS000031695.6",4,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.603243917654398,"1","1","1","0","1","0","0","1","1","1","1","0","0","0","0","0"
2012,"USA: NM","environmental/other","PDS000031981.11",12,32,"Senftenberg","Other","USA","turkey",0,"Other",0.686224489795918,"1","1","0","0","1","0","0","0","0","1","1","0","1","0","1","0"
2016,"USA:GA","environmental/other","PDS000031981.11",12,32,"Senftenberg","Other","USA","turkey",0,"Other",0.71248943364328,"1","1","0","1","1","0","0","0","0","1","1","0","1","0","0","0"
2017,"USA:SC","environmental/other","PDS000031981.11",30,48,"Senftenberg","Other","USA","turkey",0,"Other",0.577285352010627,"1","1","0","1","0","0","0","0","1","1","1","0","0","0","0","1"
2006,"USA:CA","environmental/other","PDS000093141.1",10,16,"Agona","Other","USA","turkey",0,"Other",NA,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2002,"USA:CT","environmental/other","PDS000004091.7",1,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.925492610837438,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
2002,"USA:CT","environmental/other","PDS000004091.7",5,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.925492610837438,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
2002,"USA:CT","environmental/other","PDS000004091.7",5,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.925492610837438,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
2002,"USA:CT","environmental/other","PDS000004091.7",1,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.902487486390099,"1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
2002,"USA:GA","environmental/other","PDS000004091.7",2,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.925492610837438,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
2004,"USA:CT","environmental/other","PDS000004091.7",20,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.783360340002745,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
2005,"USA:NM","environmental/other","PDS000004091.7",22,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.917191903112698,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2006,"USA:CT","environmental/other","PDS000004091.7",21,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.831819187035643,"1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
2016,"USA:AR","environmental/other","PDS000029572.4",2,30,"Cubana","Other","USA","chicken",1,"Other",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2016,"USA:AR","environmental/other","PDS000029572.4",2,30,"Cubana","Other","USA","chicken",1,"Other",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2005,"USA:NY","environmental/other","PDS000026670.6",28,45,"Typhimurium","Typhimurium","USA","chicken",0,"4:i:1,2",NA,"1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
2019,"USA:IA","environmental/other","PDS000027615.9",0,39,"Mbandaka","Other","USA","pork",1,"Other",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2016,"USA:OH","environmental/other","PDS000032607.4",7,33,"Anatum","Anatum","USA","pork",1,"Other",NA,"1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
2018,"USA:NY","environmental/other","PDS000029517.7",19,26,"Alachua","Other","USA","turkey",0,"Other",0.436936936936937,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2019,"USA:KS","environmental/other","PDS000029517.7",2,25,"Alachua","Other","USA","turkey",1,"Other",0.436936936936937,"1","1","1","0","1","0","0","1","1","1","1","0","0","0","0","0"
2013,"USA: MD","environmental/other","PDS000032428.4",15,8,"Infantis","Infantis","USA","pork",0,"7:r:1,5",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2019,"USA:NY","environmental/other","PDS000055860.7",4,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",NA,"1","1","0","0","0","0","0","0","0","1","1","0","1","0","1","1"
2011,"USA: NM","environmental/other","PDS000105175.3",35,40,"Bovismorbificans","Other","USA","pork",0,"Other",NA,"1","1","0","0","1","0","0","0","1","0","0","0","0","1","1","0"
2006,"USA:MN","environmental/other","PDS000028137.9",16,12,"Montevideo","Other","USA","chicken",0,"Other",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2014,"USA:PA","environmental/other","PDS000030219.4",20,NA,"Kentucky","Other","USA","beef",NA,"8:i:z6",NA,"1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","1"
2019,"USA:GA","environmental/other","PDS000062361.5",16,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2014,"USA:NE","environmental/other","PDS000006034.18",26,31,"Krefeld","Other","USA","pork",0,"Other",NA,"1","1","1","0","1","0","0","0","0","1","1","1","0","0","0","0"
2016,"USA:AL","environmental/other","PDS000030461.6",17,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
